                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999875 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  3352584166 |  3352584166 |  3352584166 |  3352584166 |  3352584166 |  3352584166 |  3352584166 |  3352584166
  IPC                                |        0.60 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   986054167 |   986054167 |   986054167 |   986054167 |   986054167 |   986054167 |   986054167 |   986054167
  Idle time (ns)                     |       56843 |   986054167 |   986054167 |   986054167 |   986054167 |   986054167 |   986054167 |   986054167
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   245055326 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    27271402 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |      10.01% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       13.64 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   311394916 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   814678686 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |    16834557 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       2.07% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        8.42 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |    16834557 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     8209848 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      48.77% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        4.10 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   311394916 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      680183 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.22% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.34 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   814678686 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    25748615 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       3.16% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |       12.87 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    28582994 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    20146531 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      70.48% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |       10.07 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    22301047 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     7082301 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      31.76% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        3.54 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    10386890 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      102.79 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.29 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       2.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |     6413423 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
